source_1,row_1,name_1,email_1,phone_1,source_2,row_2,name_2,email_2,phone_2,original_score,reasons,name_match,email_match,phone_match,normalized_phone_1,normalized_phone_2,decision,conflict_reason
naukri,2,Tanvi Gupta,tanvi.gupta31@example.com,919000000254.0,cbnexus,22,Tanvi Gupta,,9000000254,95,"exact phone, exact name, same city",True,False,True,9000000254,9000000254,APPROVE,
naukri,5,Vikram Saxena,vikram.saxena60@example.com,9000000113.0,cbnexus,20,Vikram Saxena,,9000000113,95,"exact phone, exact name, same city",True,False,True,9000000113,9000000113,APPROVE,
naukri,5,Vikram Saxena,vikram.saxena60@example.com,9000000113.0,gig,9,Vikram Saxena,vikram.saxena60@example.com,,95,"exact email, exact name, same city",True,True,False,9000000113,,APPROVE,
naukri,7,Sahil Malhotra,sahil.malhotra1@example.in,919000000143.0,cbnexus,9,SAHIL MALHOTRA,,9000000143,95,"exact phone, exact name, same city",True,False,True,9000000143,9000000143,APPROVE,
naukri,8,Shreya Gupta,shreya.gupta85@example.com,9000000227.0,cbnexus,10,Shreya Gupta,,+91-9000000227,95,"exact phone, exact name, same city",True,False,True,9000000227,9000000227,APPROVE,
naukri,9,Isha Chopra,isha.chopra95@mailtest.example.org,9000000138.0,cbnexus,18,Isha Chopra,,919000000138,95,"exact phone, exact name, same city",True,False,True,9000000138,9000000138,APPROVE,
naukri,9,Isha Chopra,isha.chopra95@mailtest.example.org,9000000138.0,gig,7,Isha Chopra,ISHA.CHOPRA95@MAILTEST.EXAMPLE.ORG,,95,"exact email, exact name, same city",True,True,False,9000000138,,APPROVE,
naukri,39,Nikhil Mehta,nikhil.mehta5@example.com,9000000104.0,cbnexus,6,Nikhil Mehta,,+91-9000000104,95,"exact phone, exact name, same city",True,False,True,9000000104,9000000104,APPROVE,
naukri,43,Neha Bhatia,neha.bhatia60@mailtest.example.org,9000000273.0,cbnexus,27,Neha Bhatia,,9000000273,95,"exact phone, exact name, same city",True,False,True,9000000273,9000000273,APPROVE,
naukri,15,Karan Bhatia,karan.bhatia32@mailtest.example.org,919000000211.0,cbnexus,14,KARAN BHATIA,,9000000211,95,"exact phone, exact name, same city",True,False,True,9000000211,9000000211,APPROVE,
naukri,15,Karan Bhatia,karan.bhatia32@mailtest.example.org,919000000211.0,gig,4,Karan Bhatia,karan.bhatia32@mailtest.example.org,,95,"exact email, exact name, same city",True,True,False,9000000211,,APPROVE,
naukri,16,Ritu Sharma,ritu.sharma23@mailtest.example.org,9000000146.0,cbnexus,3,RITU SHARMA,,9000000146,95,"exact phone, exact name, same city",True,False,True,9000000146,9000000146,APPROVE,
naukri,19,Varun Jain,varun.jain29@example.com,9000000263.0,cbnexus,12,Varun Jain,,919000000263,95,"exact phone, exact name, same city",True,False,True,9000000263,9000000263,APPROVE,
naukri,20,Arjun Mehta,arjun.mehta9@example.in,9000000131.0,cbnexus,5,Arjun Mehta,,+91-9000000131,95,"exact phone, exact name, same city",True,False,True,9000000131,9000000131,APPROVE,
naukri,17,Arjun Mishra,arjun.mishra70@example.com,9000000106.0,gig,5,Arjun Mishra,arjun.mishra70@example.com,,95,"exact email, exact name, same city",True,True,False,9000000106,,APPROVE,
naukri,19,Varun Jain,varun.jain29@example.com,9000000263.0,gig,2,Varun Jain,varun.jain29@example.com,,95,"exact email, exact name, same city",True,True,False,9000000263,,APPROVE,
naukri,23,Deepak Mehta,deepak.mehta86@example.in,9000000116.0,cbnexus,8,Deepak Mehta,,9000000116,95,"exact phone, exact name, same city",True,False,True,9000000116,9000000116,APPROVE,
naukri,30,Gaurav Mehta,gaurav.mehta79@mailtest.example.org,9000000133.0,cbnexus,26,Gaurav Mehta,,9000000133,95,"exact phone, exact name, same city",True,False,True,9000000133,9000000133,APPROVE,
naukri,34,Rahul Chopra,rahul.chopra70@example.com,9000000137.0,gig,10,Rahul Chopra,rahul.chopra70@example.com,,95,"exact email, exact name, same city",True,True,False,9000000137,,APPROVE,
naukri,22,Sneha Chopra,sneha.chopra99@example.in,919000000162.0,cbnexus,24,Sneha Chopra,,+91-9000000162,95,"exact phone, exact name, same city",True,False,True,9000000162,9000000162,APPROVE,
naukri,22,Sneha Chopra,sneha.chopra99@example.in,919000000162.0,gig,14,Sneha Chopra,sneha.chopra99@example.in,,95,"exact email, exact name, same city",True,True,False,9000000162,,APPROVE,
